Timestamp,Year,Month,Day,State,Start_Lat,Start_Lon,End_Lat,End_Lon,EF,Injuries,Fatalities,Loss,Crop_Loss,Length,Width
1950-10-01 21:00:00,1950,10,1,OK,36.73,-102.52,36.88,-102.3,1,0,0,4000000.0,,15.8,10
1950-10-09 02:15:00,1950,10,9,NC,34.17,-78.6,0.0,0.0,3,3,0,5000000.0,,2.0,880
1950-11-20 02:20:00,1950,11,20,KY,37.37,-87.2,0.0,0.0,2,0,0,5000000.0,,0.1,10
1950-11-20 04:00:00,1950,11,20,KY,38.2,-84.5,0.0,0.0,1,0,0,5000000.0,,0.1,10
1950-11-20 07:30:00,1950,11,20,MS,32.42,-89.13,0.0,0.0,1,3,0,4000000.0,,2.0,37
1950-11-04 17:00:00,1950,11,4,PA,40.2,-76.12,40.4,-75.93,3,1,0,5000000.0,,15.9,100
1950-12-02 15:00:00,1950,12,2,IL,38.97,-90.05,39.07,-89.72,2,3,1,4000000.0,,18.8,50
1950-12-02 16:00:00,1950,12,2,IL,38.75,-89.67,38.9,-89.38,3,25,2,6000000.0,,18.0,200
1950-12-02 16:25:00,1950,12,2,AR,36.12,-91.83,36.18,-91.72,3,0,0,1000000.0,,7.8,10
1950-12-02 17:30:00,1950,12,2,IL,38.17,-89.78,38.22,-89.62,1,0,0,4000000.0,,9.6,50
1950-01-13 05:25:00,1950,1,13,AR,34.4,-94.37,0.0,0.0,3,1,1,3000000.0,,0.6,17
1950-01-25 19:30:00,1950,1,25,MO,37.6,-90.68,37.63,-90.65,2,5,0,5000000.0,,2.3,300
1950-01-25 21:00:00,1950,1,25,IL,41.17,-87.33,0.0,0.0,2,0,0,5000000.0,,0.1,100
1950-01-26 18:00:00,1950,1,26,TX,26.88,-98.12,26.88,-98.05,2,2,0,,,4.7,133
1950-01-03 11:00:00,1950,1,3,MO,38.77,-90.22,38.83,-90.03,3,3,0,6000000.0,,9.5,150
1950-01-03 11:00:00,1950,1,3,MO,38.77,-90.22,38.82,-90.12,3,3,0,6000000.0,,6.2,150
1950-01-03 11:10:00,1950,1,3,IL,38.82,-90.12,38.83,-90.03,3,0,0,5000000.0,,3.3,100
1950-01-03 11:55:00,1950,1,3,IL,39.1,-89.3,39.12,-89.23,3,3,0,5000000.0,,3.6,130
1950-01-03 16:00:00,1950,1,3,OH,40.88,-84.58,0.0,0.0,1,1,0,4000000.0,,0.1,10
1950-02-11 13:10:00,1950,2,11,TX,29.42,-95.25,29.52,-95.13,2,0,0,4000000.0,,9.9,400
1950-02-11 13:50:00,1950,2,11,TX,29.67,-95.05,29.83,-95.0,3,12,1,4000000.0,,12.0,1000
